GP index,lat [deg],lon [deg]
0,49.278,-95.168
1,48.952,-122.781
2,48.952,-122.673
3,48.952,-122.564
4,48.952,-122.455
5,48.952,-122.347
6,48.952,-122.238
7,48.952,-122.129
8,48.952,-122.020
9,48.952,-121.912
10,48.952,-121.803
11,48.952,-121.694
12,48.952,-121.586
13,48.952,-121.477
14,48.952,-121.368
15,48.952,-121.259
16,48.952,-121.151
17,48.952,-121.042
18,48.952,-120.933
19,48.952,-120.825
20,48.952,-120.716
21,48.952,-120.607
22,48.952,-120.498
23,48.952,-120.390
24,48.952,-120.281
25,48.952,-120.172
26,48.952,-120.064
27,48.952,-119.955
28,48.952,-119.846
29,48.952,-119.737
30,48.952,-118.868
31,48.952,-118.759
32,48.952,-118.650
33,48.952,-118.542
34,48.952,-118.433
35,48.952,-118.324
36,48.952,-118.215
37,48.952,-118.107
38,48.952,-117.998
39,48.952,-117.889
40,48.952,-117.781
41,48.952,-117.672
42,48.952,-117.563
43,48.952,-117.454
44,48.952,-117.346
45,48.952,-117.237
46,48.952,-117.128
47,48.952,-117.020
48,48.952,-116.911
49,48.952,-116.802
50,48.952,-116.693
51,48.952,-116.585
52,48.952,-116.367
53,48.952,-116.259
54,48.952,-116.150
55,48.952,-116.041
56,48.952,-115.932
57,48.952,-115.824
58,48.952,-115.715
59,48.952,-115.606
60,48.952,-115.498
61,48.952,-115.389
62,48.952,-115.280
63,48.952,-115.171
64,48.952,-115.063
65,48.952,-114.954
66,48.952,-114.845
67,48.952,-114.737
68,48.952,-114.628
69,48.952,-114.519
70,48.952,-114.410
71,48.952,-114.302
72,48.952,-114.193
73,48.952,-114.084
74,48.952,-113.976
75,48.952,-113.867
76,48.952,-113.758
77,48.952,-113.649
78,48.952,-113.541
79,48.952,-112.997
80,48.952,-112.888
81,48.952,-112.671
82,48.952,-112.454
83,48.952,-112.127
84,48.952,-112.019
85,48.952,-111.910
86,48.952,-111.801
87,48.952,-111.584
88,48.952,-111.475
89,48.952,-111.366
90,48.952,-111.258
91,48.952,-111.149
92,48.952,-111.040
93,48.952,-110.932
94,48.952,-110.823
95,48.952,-110.714
96,48.952,-110.605
97,48.952,-110.497
98,48.952,-110.388
99,48.952,-110.279
100,48.952,-110.171
101,48.952,-110.062
102,48.952,-109.953
103,48.952,-109.844
104,48.952,-109.736
105,48.952,-109.627
106,48.952,-109.518
107,48.952,-109.410
108,48.952,-109.301
109,48.952,-109.192
110,48.952,-109.083
111,48.952,-108.975
112,48.952,-108.866
113,48.952,-108.757
114,48.952,-108.649
115,48.952,-108.431
116,48.952,-108.322
117,48.952,-108.214
118,48.952,-108.105
119,48.952,-107.996
120,48.952,-107.888
121,48.952,-107.779
122,48.952,-107.670
123,48.952,-107.561
124,48.952,-107.453
125,48.952,-107.344
126,48.952,-107.235
127,48.952,-107.127
128,48.952,-107.018
129,48.952,-106.909
130,48.952,-106.800
131,48.952,-106.692
132,48.952,-106.583
133,48.952,-106.474
134,48.952,-106.366
135,48.952,-106.257
136,48.952,-106.148
137,48.952,-106.039
138,48.952,-105.931
139,48.952,-105.822
140,48.952,-105.713
141,48.952,-105.605
142,48.952,-105.496
143,48.952,-105.387
144,48.952,-105.278
145,48.952,-105.170
146,48.952,-105.061
147,48.952,-104.952
148,48.952,-104.517
149,48.952,-104.409
150,48.952,-104.300
151,48.952,-100.278
152,48.952,-100.060
153,48.952,-99.951
154,48.952,-96.581
155,48.952,-95.168
156,48.844,-122.673
157,48.844,-122.564
158,48.844,-122.455
159,48.844,-122.347
160,48.844,-122.238
161,48.844,-122.129
162,48.844,-122.020
163,48.844,-121.912
164,48.844,-121.803
165,48.844,-121.694
166,48.844,-121.586
167,48.844,-121.477
168,48.844,-121.368
169,48.844,-121.259
170,48.844,-121.151
171,48.844,-121.042
172,48.844,-120.933
173,48.844,-120.825
174,48.844,-120.716
175,48.844,-120.607
176,48.844,-120.498
177,48.844,-120.390
178,48.844,-120.281
179,48.844,-120.172
180,48.844,-120.064
181,48.844,-119.955
182,48.844,-119.846
183,48.844,-119.737
184,48.844,-118.868
185,48.844,-118.759
186,48.844,-118.542
187,48.844,-118.433
188,48.844,-118.324
189,48.844,-118.107
190,48.844,-117.998
191,48.844,-117.889
192,48.844,-117.781
193,48.844,-117.672
194,48.844,-117.563
195,48.844,-117.454
196,48.844,-117.346
197,48.844,-117.237
198,48.844,-117.128
199,48.844,-117.020
200,48.844,-116.911
201,48.844,-116.802
202,48.844,-116.693
203,48.844,-116.585
204,48.844,-116.476
205,48.844,-116.367
206,48.844,-116.259
207,48.844,-116.150
208,48.844,-116.041
209,48.844,-115.932
210,48.844,-115.824
211,48.844,-115.715
212,48.844,-115.606
213,48.844,-115.498
214,48.844,-115.171
215,48.844,-115.063
216,48.844,-114.954
217,48.844,-114.845
218,48.844,-114.737
219,48.844,-114.628
220,48.844,-114.519
221,48.844,-114.410
222,48.844,-114.302
223,48.844,-114.193
224,48.844,-114.084
225,48.844,-113.976
226,48.844,-113.867
227,48.844,-113.649
228,48.844,-113.323
229,48.844,-113.215
230,48.844,-113.106
231,48.844,-112.997
232,48.844,-112.888
233,48.844,-112.671
234,48.844,-112.454
235,48.844,-112.236
236,48.844,-112.127
237,48.844,-112.019
238,48.844,-111.910
239,48.844,-111.801
240,48.844,-111.693
241,48.844,-111.584
242,48.844,-111.475
243,48.844,-111.366
244,48.844,-111.258
245,48.844,-111.149
246,48.844,-111.040
247,48.844,-110.932
248,48.844,-110.823
249,48.844,-110.714
250,48.844,-110.605
251,48.844,-110.497
252,48.844,-110.388
253,48.844,-110.279
254,48.844,-110.171
255,48.844,-110.062
256,48.844,-109.953
257,48.844,-109.844
258,48.844,-109.736
259,48.844,-109.627
260,48.844,-109.518
261,48.844,-109.410
262,48.844,-109.301
263,48.844,-109.192
264,48.844,-109.083
265,48.844,-108.975
266,48.844,-108.866
267,48.844,-108.757
268,48.844,-108.649
269,48.844,-108.540
270,48.844,-108.431
271,48.844,-108.322
272,48.844,-108.214
273,48.844,-108.105
274,48.844,-107.996
275,48.844,-107.888
276,48.844,-107.779
277,48.844,-107.670
278,48.844,-107.561
279,48.844,-107.453
280,48.844,-107.344
281,48.844,-107.235
282,48.844,-107.127
283,48.844,-107.018
284,48.844,-106.909
285,48.844,-106.800
286,48.844,-106.692
287,48.844,-106.583
288,48.844,-106.474
289,48.844,-106.366
290,48.844,-106.257
291,48.844,-106.148
292,48.844,-106.039
293,48.844,-105.822
294,48.844,-105.713
295,48.844,-105.605
296,48.844,-105.496
297,48.844,-105.387
298,48.844,-105.278
299,48.844,-105.170
300,48.844,-105.061
301,48.844,-104.952
302,48.844,-104.844
303,48.844,-104.735
304,48.844,-104.626
305,48.844,-104.517
306,48.844,-103.756
307,48.844,-95.277
308,48.844,-95.168
309,48.844,-94.951
310,48.844,-94.842
311,48.735,-122.999
312,48.735,-122.890
313,48.735,-122.455
314,48.735,-122.347
315,48.735,-122.238
316,48.735,-122.129
317,48.735,-122.020
318,48.735,-121.912
319,48.735,-121.803
320,48.735,-121.694
321,48.735,-121.586
322,48.735,-121.477
323,48.735,-121.368
324,48.735,-121.259
325,48.735,-121.151
326,48.735,-121.042
327,48.735,-120.933
328,48.735,-120.825
329,48.735,-120.716
330,48.735,-120.607
331,48.735,-120.498
332,48.735,-120.390
333,48.735,-120.281
334,48.735,-120.172
335,48.735,-120.064
336,48.735,-119.955
337,48.735,-119.846
338,48.735,-118.976
339,48.735,-118.868
340,48.735,-118.759
341,48.735,-118.650
342,48.735,-118.542
343,48.735,-118.433
344,48.735,-118.324
345,48.735,-118.215
346,48.735,-118.107
347,48.735,-117.998
348,48.735,-117.889
349,48.735,-117.781
350,48.735,-117.672
351,48.735,-117.563
352,48.735,-117.454
353,48.735,-117.346
354,48.735,-117.237
355,48.735,-117.128
356,48.735,-117.020
357,48.735,-116.911
358,48.735,-116.802
359,48.735,-116.693
360,48.735,-116.585
361,48.735,-116.476
362,48.735,-116.367
363,48.735,-116.259
364,48.735,-116.150
365,48.735,-116.041
366,48.735,-115.932
367,48.735,-115.824
368,48.735,-115.715
369,48.735,-115.606
370,48.735,-115.498
371,48.735,-115.389
372,48.735,-115.280
373,48.735,-115.171
374,48.735,-114.954
375,48.735,-114.845
376,48.735,-114.737
377,48.735,-114.628
378,48.735,-114.519
379,48.735,-114.410
380,48.735,-114.302
381,48.735,-114.193
382,48.735,-114.084
383,48.735,-113.976
384,48.735,-113.867
385,48.735,-113.758
386,48.735,-113.649
387,48.735,-113.541
388,48.735,-113.432
389,48.735,-113.323
390,48.735,-113.215
391,48.735,-113.106
392,48.735,-112.997
393,48.735,-112.236
394,48.735,-112.127
395,48.735,-112.019
396,48.735,-111.910
397,48.735,-111.801
398,48.735,-111.693
399,48.735,-111.584
400,48.735,-111.475
401,48.735,-111.366
402,48.735,-111.258
403,48.735,-111.149
404,48.735,-111.040
405,48.735,-110.932
406,48.735,-110.823
407,48.735,-110.714
408,48.735,-110.605
409,48.735,-110.497
410,48.735,-110.388
411,48.735,-110.279
412,48.735,-110.171
413,48.735,-110.062
414,48.735,-109.953
415,48.735,-109.844
416,48.735,-109.736
417,48.735,-109.627
418,48.735,-109.518
419,48.735,-109.410
420,48.735,-109.301
421,48.735,-109.192
422,48.735,-109.083
423,48.735,-108.975
424,48.735,-108.866
425,48.735,-108.757
426,48.735,-108.649
427,48.735,-108.540
428,48.735,-108.431
429,48.735,-108.322
430,48.735,-108.214
431,48.735,-108.105
432,48.735,-107.996
433,48.735,-107.888
434,48.735,-107.779
435,48.735,-107.670
436,48.735,-107.561
437,48.735,-107.453
438,48.735,-107.344
439,48.735,-107.235
440,48.735,-107.127
441,48.735,-107.018
442,48.735,-106.909
443,48.735,-106.800
444,48.735,-106.692
445,48.735,-106.583
446,48.735,-106.474
447,48.735,-106.257
448,48.735,-106.148
449,48.735,-106.039
450,48.735,-105.931
451,48.735,-105.822
452,48.735,-105.713
453,48.735,-105.605
454,48.735,-105.496
455,48.735,-105.387
456,48.735,-105.278
457,48.735,-104.952
458,48.735,-104.844
459,48.735,-104.735
460,48.735,-104.626
461,48.735,-104.517
462,48.735,-104.409
463,48.735,-104.300
464,48.735,-104.191
465,48.735,-103.322
466,48.735,-103.213
467,48.735,-102.887
468,48.735,-102.778
469,48.735,-96.690
470,48.735,-96.473
471,48.735,-95.929
472,48.735,-95.494
473,48.735,-95.385
474,48.735,-95.059
475,48.626,-123.108
476,48.626,-122.999
477,48.626,-122.455
478,48.626,-122.347
479,48.626,-122.238
480,48.626,-122.129
481,48.626,-122.020
482,48.626,-121.912
483,48.626,-121.803
484,48.626,-121.694
485,48.626,-121.586
486,48.626,-121.477
487,48.626,-121.368
488,48.626,-121.259
489,48.626,-121.151
490,48.626,-121.042
491,48.626,-120.933
492,48.626,-120.825
493,48.626,-120.716
494,48.626,-120.607
495,48.626,-120.498
496,48.626,-120.390
497,48.626,-120.172
498,48.626,-120.064
499,48.626,-119.955
500,48.626,-119.411
501,48.626,-119.303
502,48.626,-119.194
503,48.626,-119.085
504,48.626,-118.976
505,48.626,-118.868
506,48.626,-118.759
507,48.626,-118.650
508,48.626,-118.542
509,48.626,-118.433
510,48.626,-118.324
511,48.626,-117.998
512,48.626,-117.889
513,48.626,-117.781
514,48.626,-117.672
515,48.626,-117.563
516,48.626,-117.454
517,48.626,-117.346
518,48.626,-117.237
519,48.626,-117.128
520,48.626,-117.020
521,48.626,-116.802
522,48.626,-116.693
523,48.626,-116.585
524,48.626,-116.476
525,48.626,-116.367
526,48.626,-116.259
527,48.626,-116.150
528,48.626,-116.041
529,48.626,-115.932
530,48.626,-115.824
531,48.626,-115.715
532,48.626,-115.606
533,48.626,-115.498
534,48.626,-115.389
535,48.626,-115.280
536,48.626,-115.171
537,48.626,-115.063
538,48.626,-114.954
539,48.626,-114.845
540,48.626,-114.737
541,48.626,-114.628
542,48.626,-114.519
543,48.626,-114.410
544,48.626,-114.302
545,48.626,-114.193
546,48.626,-114.084
547,48.626,-113.976
548,48.626,-113.867
549,48.626,-113.758
550,48.626,-113.649
551,48.626,-113.541
552,48.626,-113.432
553,48.626,-113.106
554,48.626,-112.997
555,48.626,-112.888
556,48.626,-112.780
557,48.626,-112.671
558,48.626,-112.562
559,48.626,-112.454
560,48.626,-112.345
561,48.626,-112.236
562,48.626,-112.019
563,48.626,-111.910
564,48.626,-111.801
565,48.626,-111.693
566,48.626,-111.584
567,48.626,-111.475
568,48.626,-111.366
569,48.626,-111.258
570,48.626,-111.149
571,48.626,-111.040
572,48.626,-110.932
573,48.626,-110.823
574,48.626,-110.714
575,48.626,-110.605
576,48.626,-110.497
577,48.626,-110.388
578,48.626,-110.279
579,48.626,-110.171
580,48.626,-110.062
581,48.626,-109.953
582,48.626,-109.844
583,48.626,-109.736
584,48.626,-109.627
585,48.626,-109.518
586,48.626,-109.410
587,48.626,-109.301
588,48.626,-109.192
589,48.626,-109.083
590,48.626,-108.975
591,48.626,-108.866
592,48.626,-108.757
593,48.626,-108.649
594,48.626,-108.540
595,48.626,-108.431
596,48.626,-108.322
597,48.626,-108.214
598,48.626,-108.105
599,48.626,-107.996
600,48.626,-107.888
601,48.626,-107.779
602,48.626,-107.670
603,48.626,-107.561
604,48.626,-107.453
605,48.626,-107.344
606,48.626,-107.235
607,48.626,-107.127
608,48.626,-107.018
609,48.626,-106.909
610,48.626,-106.800
611,48.626,-106.692
612,48.626,-106.583
613,48.626,-106.474
614,48.626,-106.366
615,48.626,-106.257
616,48.626,-106.148
617,48.626,-106.039
618,48.626,-105.931
619,48.626,-105.822
620,48.626,-105.713
621,48.626,-105.605
622,48.626,-105.496
623,48.626,-105.387
624,48.626,-105.278
625,48.626,-104.952
626,48.626,-104.844
627,48.626,-104.735
628,48.626,-104.626
629,48.626,-104.517
630,48.626,-104.409
631,48.626,-104.300
632,48.626,-104.191
633,48.626,-104.083
634,48.626,-103.756
635,48.626,-103.648
636,48.626,-103.213
637,48.626,-102.778
638,48.626,-102.669
639,48.626,-95.929
640,48.626,-95.712
641,48.626,-95.494
642,48.626,-95.385
643,48.626,-95.059
644,48.626,-94.733
645,48.626,-94.624
646,48.626,-94.298
647,48.626,-94.081
648,48.626,-93.972
649,48.626,-93.320
650,48.626,-93.211
651,48.626,-93.102
652,48.517,-122.347
653,48.517,-122.238
654,48.517,-122.129
655,48.517,-122.020
656,48.517,-121.912
657,48.517,-121.803
658,48.517,-121.694
659,48.517,-121.586
660,48.517,-121.477
661,48.517,-121.368
662,48.517,-121.259
663,48.517,-121.151
664,48.517,-121.042
665,48.517,-120.933
666,48.517,-120.825
667,48.517,-120.716
668,48.517,-120.607
669,48.517,-120.498
670,48.517,-120.390
671,48.517,-120.281
672,48.517,-120.064
673,48.517,-119.955
674,48.517,-119.846
675,48.517,-119.411
676,48.517,-119.303
677,48.517,-119.194
678,48.517,-119.085
679,48.517,-118.976
680,48.517,-118.868
681,48.517,-118.759
682,48.517,-118.650
683,48.517,-118.542
684,48.517,-118.433
685,48.517,-118.324
686,48.517,-118.215
687,48.517,-118.107
688,48.517,-117.998
689,48.517,-117.889
690,48.517,-117.781
691,48.517,-117.672
692,48.517,-117.563
693,48.517,-117.454
694,48.517,-117.346
695,48.517,-117.237
696,48.517,-117.128
697,48.517,-117.020
698,48.517,-116.911
699,48.517,-116.802
700,48.517,-116.693
701,48.517,-116.585
702,48.517,-116.476
703,48.517,-116.367
704,48.517,-116.259
705,48.517,-116.150
706,48.517,-116.041
707,48.517,-115.932
708,48.517,-115.824
709,48.517,-115.715
710,48.517,-115.606
711,48.517,-115.498
712,48.517,-115.389
713,48.517,-115.280
714,48.517,-115.171
715,48.517,-115.063
716,48.517,-114.954
717,48.517,-114.845
718,48.517,-114.737
719,48.517,-114.628
720,48.517,-114.302
721,48.517,-114.193
722,48.517,-114.084
723,48.517,-113.976
724,48.517,-113.867
725,48.517,-113.758
726,48.517,-113.649
727,48.517,-113.541
728,48.517,-113.432
729,48.517,-113.106
730,48.517,-112.997
731,48.517,-112.888
732,48.517,-112.780
733,48.517,-112.671
734,48.517,-112.562
735,48.517,-112.127
736,48.517,-112.019
737,48.517,-111.910
738,48.517,-111.801
739,48.517,-111.693
740,48.517,-111.584
741,48.517,-111.475
742,48.517,-111.366
743,48.517,-111.258
744,48.517,-111.149
745,48.517,-111.040
746,48.517,-110.932
747,48.517,-110.823
748,48.517,-110.714
749,48.517,-110.605
750,48.517,-110.497
751,48.517,-110.388
752,48.517,-110.279
753,48.517,-110.171
754,48.517,-110.062
755,48.517,-109.953
756,48.517,-109.844
757,48.517,-109.736
758,48.517,-109.627
759,48.517,-109.518
760,48.517,-109.410
761,48.517,-109.301
762,48.517,-109.192
763,48.517,-109.083
764,48.517,-108.975
765,48.517,-108.866
766,48.517,-108.757
767,48.517,-108.649
768,48.517,-108.540
769,48.517,-108.431
770,48.517,-108.322
771,48.517,-108.214
772,48.517,-108.105
773,48.517,-107.996
774,48.517,-107.888
775,48.517,-107.670
776,48.517,-107.561
777,48.517,-107.453
778,48.517,-107.344
779,48.517,-107.235
780,48.517,-107.127
781,48.517,-106.909
782,48.517,-106.800
783,48.517,-106.692
784,48.517,-106.583
785,48.517,-106.474
786,48.517,-106.366
787,48.517,-106.257
788,48.517,-106.148
789,48.517,-106.039
790,48.517,-105.931
791,48.517,-105.822
792,48.517,-105.713
793,48.517,-105.605
794,48.517,-105.496
795,48.517,-105.387
796,48.517,-105.278
797,48.517,-105.170
798,48.517,-105.061
799,48.517,-104.952
800,48.517,-104.844
801,48.517,-104.735
802,48.517,-104.626
803,48.517,-104.517
804,48.517,-104.409
805,48.517,-104.300
806,48.517,-104.191
807,48.517,-104.083
808,48.517,-103.974
809,48.517,-103.865
810,48.517,-103.756
811,48.517,-103.648
812,48.517,-103.539
813,48.517,-96.038
814,48.517,-95.603
815,48.517,-95.494
816,48.517,-95.385
817,48.517,-95.277
818,48.517,-94.951
819,48.517,-94.842
820,48.517,-94.733
821,48.517,-94.624
822,48.517,-94.407
823,48.517,-94.298
824,48.517,-94.189
825,48.517,-93.972
826,48.517,-93.863
827,48.517,-93.755
828,48.517,-93.320
829,48.517,-93.211
830,48.517,-93.102
831,48.517,-92.885
832,48.517,-92.776
833,48.409,-124.630
834,48.409,-122.455
835,48.409,-122.347
836,48.409,-122.238
837,48.409,-122.129
838,48.409,-122.020
839,48.409,-121.912
840,48.409,-121.803
841,48.409,-121.694
842,48.409,-121.586
843,48.409,-121.477
844,48.409,-121.368
845,48.409,-121.259
846,48.409,-121.151
847,48.409,-121.042
848,48.409,-120.933
849,48.409,-120.825
850,48.409,-120.716
851,48.409,-120.607
852,48.409,-120.498
853,48.409,-120.390
854,48.409,-120.281
855,48.409,-119.955
856,48.409,-119.846
857,48.409,-119.411
858,48.409,-119.303
859,48.409,-119.194
860,48.409,-119.085
861,48.409,-118.976
862,48.409,-118.868
863,48.409,-118.759
864,48.409,-118.650
865,48.409,-118.542
866,48.409,-118.433
867,48.409,-118.324
868,48.409,-118.107
869,48.409,-117.998
870,48.409,-117.889
871,48.409,-117.781
872,48.409,-117.672
873,48.409,-117.563
874,48.409,-117.454
875,48.409,-117.346
876,48.409,-117.237
877,48.409,-117.128
878,48.409,-117.020
879,48.409,-116.911
880,48.409,-116.802
881,48.409,-116.693
882,48.409,-116.585
883,48.409,-116.476
884,48.409,-116.367
885,48.409,-116.259
886,48.409,-116.150
887,48.409,-116.041
888,48.409,-115.932
889,48.409,-115.824
890,48.409,-115.715
891,48.409,-115.606
892,48.409,-115.498
893,48.409,-115.389
894,48.409,-115.280
895,48.409,-115.171
896,48.409,-115.063
897,48.409,-114.954
