Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km]
0.0,False,10010.49833498086
1.0,False,10010.49886645905
2.0,False,10010.499398498532
3.0,False,10010.499931098682
4.0,False,10010.500464258917
5.0,False,10010.500997978637
6.0,False,10010.50153225724
7.0,False,10010.502067094127
8.0,False,10010.502602488687
9.0,False,10010.503138440345
10.0,False,10010.503674948468
11.0,False,10010.504212012473
12.0,False,10010.504749631737
13.0,False,10010.50528780568
14.0,False,10010.505826533676
15.0,False,10010.506365815138
16.0,False,10010.506905649443
17.0,False,10010.507446036001
18.0,False,10010.507986974191
19.0,False,10010.508528463402
20.0,False,10010.50907050304
21.0,False,10010.5096130925
22.0,False,10010.510156231154
23.0,False,10010.510699918404
24.0,False,10010.511244153628
25.0,False,10010.511788936217
26.0,False,10010.512334265575
27.0,False,10010.51288014107
28.0,False,10010.51342656209
29.0,False,10010.513973528032
30.0,False,10010.514521038276
31.0,False,10010.515069092207
32.0,False,10010.515617689207
33.0,False,10010.51616682866
34.0,False,10010.516716509952
35.0,False,10010.517266732459
36.0,False,10010.517817495567
37.0,False,10010.51836879867
38.0,False,10010.518920641127
39.0,False,10010.519473022321
40.0,False,10010.520025941642
41.0,False,10010.520579398459
42.0,False,10010.521133392156
43.0,False,10010.521687922117
44.0,False,10010.522242987694
45.0,False,10010.52279858829
46.0,False,10010.523354723267
47.0,False,10010.523911392002
48.0,False,10010.52446859388
49.0,False,10010.525026328263
50.0,False,10010.525584594521
51.0,False,10010.526143392037
52.0,False,10010.526702720172
53.0,False,10010.527262578304
54.0,False,10010.52782296581
55.0,False,10010.528383882054
56.0,False,10010.528945326401
57.0,False,10010.52950729823
58.0,False,10010.530069796901
59.0,False,10010.530632821788
60.0,False,10010.531196372249
61.0,False,10010.53176044767
62.0,False,10010.53232504739
63.0,False,10010.532890170796
64.0,False,10010.533455817244
65.0,False,10010.534021986097
66.0,False,10010.534588676725
67.0,False,10010.535155888487
68.0,False,10010.535723620747
69.0,False,10010.536291872872
70.0,False,10010.536860644208
71.0,False,10010.53742993413
72.0,False,10010.537999741999
73.0,False,10010.538570067167
74.0,False,10010.539140908995
75.0,False,10010.539712266836
76.0,False,10010.540284140066
77.0,False,10010.54085652802
78.0,False,10010.54142943006
79.0,False,10010.542002845557
80.0,False,10010.542576773863
81.0,False,10010.54315121432
82.0,False,10010.543726166285
83.0,False,10010.544301629128
84.0,False,10010.54487760218
85.0,False,10010.545454084815
86.0,False,10010.546031076356
87.0,False,10010.546608576191
88.0,False,10010.547186583646
89.0,False,10010.547765098077
90.0,False,10010.54834411884
91.0,False,10010.548923645278
92.0,False,10010.549503676737
93.0,False,10010.550084212578
94.0,False,10010.550665252136
95.0,False,10010.551246794766
96.0,False,10010.551828839803
97.0,False,10010.552411386607
98.0,False,10010.55299443452
99.0,False,10010.553577982882
100.0,False,10010.55416203103
101.0,False,10010.554746578318
102.0,False,10010.555331624098
103.0,False,10010.555917167698
104.0,False,10010.556503208469
105.0,False,10010.557089745736
106.0,False,10010.557676778866
107.0,False,10010.558264307178
108.0,False,10010.558852330012
109.0,False,10010.559440846728
110.0,False,10010.560029856639
111.0,False,10010.560619359094
112.0,False,10010.561209353433
113.0,False,10010.561799838997
114.0,False,10010.562390815106
115.0,False,10010.562982281117
116.0,False,10010.563574236347
117.0,False,10010.564166680144
118.0,False,10010.56475961184
119.0,False,10010.565353030757
120.0,False,10010.565946936242
121.0,False,10010.566541327611
122.0,False,10010.567136204227
123.0,False,10010.567731565385
124.0,False,10010.568327410432
125.0,False,10010.568923738709
126.0,False,10010.569520549532
127.0,False,10010.570117842231
128.0,False,10010.57071561614
129.0,False,10010.571313870576
130.0,False,10010.571912604899
131.0,False,10010.5725118184
132.0,False,10010.57311151041
133.0,False,10010.57371168028
134.0,False,10010.574312327306
135.0,False,10010.574913450828
136.0,False,10010.575515050174
137.0,False,10010.576117124654
138.0,False,10010.576719673601
139.0,False,10010.577322696352
140.0,False,10010.577926192198
141.0,False,10010.57853016048
142.0,False,10010.579134600512
143.0,False,10010.579739511622
144.0,False,10010.58034489314
145.0,False,10010.580950744357
146.0,False,10010.581557064621
147.0,False,10010.582163853227
148.0,False,10010.582771109508
149.0,False,10010.583378832769
150.0,False,10010.583987022343
151.0,False,10010.584595677534
152.0,False,10010.585204797671
153.0,False,10010.585814382055
154.0,False,10010.586424430008
155.0,False,10010.587034940852
156.0,False,10010.587645913878
157.0,False,10010.588257348423
158.0,False,10010.588869243786
159.0,False,10010.589481599289
160.0,False,10010.59009441423
161.0,False,10010.590707687947
162.0,False,10010.59132141972
163.0,False,10010.591935608876
164.0,False,10010.592550254712
165.0,False,10010.593165356557
166.0,False,10010.593780913716
167.0,False,10010.594396925466
168.0,False,10010.595013391161
169.0,False,10010.59563031007
170.0,False,10010.59624768153
171.0,False,10010.596865504833
172.0,False,10010.597483779276
173.0,False,10010.598102504176
174.0,False,10010.598721678833
175.0,False,10010.599341302555
176.0,False,10010.59996137465
177.0,False,10010.600581894403
178.0,False,10010.60120286114
179.0,False,10010.601824274147
180.0,False,10010.60244613273
181.0,False,10010.603068436189
182.0,False,10010.603691183827
183.0,False,10010.604314374941
184.0,False,10010.604938008837
185.0,False,10010.605562084815
186.0,False,10010.606186602156
187.0,False,10010.606811560176
188.0,False,10010.607436958167
189.0,False,10010.60806279543
190.0,False,10010.608689071261
191.0,False,10010.60931578496
192.0,False,10010.609942935798
193.0,False,10010.610570523098
194.0,False,10010.611198546145
195.0,False,10010.611827004228
196.0,False,10010.612455896651
197.0,False,10010.613085222698
198.0,False,10010.613714981671
199.0,False,10010.61434517286
200.0,False,10010.614975795555
201.0,False,10010.615606849036
202.0,False,10010.616238332615
203.0,False,10010.616870245565
204.0,False,10010.617502587182
205.0,False,10010.618135356766
206.0,False,10010.61876855359
207.0,False,10010.619402176942
208.0,False,10010.620036226122
209.0,False,10010.620670700415
210.0,False,10010.621305599097
211.0,False,10010.621940921468
212.0,False,10010.6225766668
213.0,False,10010.623212834395
214.0,False,10010.623849423533
215.0,False,10010.62448643349
216.0,False,10010.625123863552
217.0,False,10010.625761713009
