Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km],Elevation[deg]
0.0,True,2780.2909088636684,2.73024279989286
1.0,True,2779.241470744176,2.7407315084009385
2.0,True,2778.207967241145,2.7510655679090372
3.0,True,2777.1904172235204,2.761244595599488
4.0,True,2776.188840979329,2.771268196778241
5.0,True,2775.2032534687974,2.781136032321261
6.0,True,2774.2336744540403,2.790847717505295
7.0,True,2773.2801217346096,2.8004028896153965
8.0,True,2772.342612838903,2.8098011910826544
9.0,True,2771.421165022692,2.819042269531062
10.0,True,2770.5157952676354,2.82812577782441
11.0,True,2769.6265202798863,2.8370513741117596
12.0,True,2768.7533581017587,2.8458187057048736
13.0,True,2767.896321648873,2.8544274738800905
14.0,True,2767.055428414387,2.8628773366609264
15.0,True,2766.230693988304,2.871167973786326
16.0,True,2765.4221336781666,2.8792990705021095
17.0,True,2764.629762507787,2.887270317602473
18.0,True,2763.8535952159204,2.8950814114723924
19.0,True,2763.0936478051267,2.902732038555535
20.0,True,2762.3499313309467,2.9102219377724827
21.0,True,2761.622461228627,2.9175508068643485
22.0,True,2760.911251084179,2.9247183649826067
23.0,True,2760.21631419248,2.9317243370672146
24.0,True,2759.5376635560297,2.9385684538849435
25.0,True,2758.8753118838563,2.945250452066337
26.0,True,2758.229273076725,2.951770059179712
27.0,True,2757.599556271477,2.9581270537032514
28.0,True,2756.9861747855966,2.9643211750225844
29.0,True,2756.3891401432707,2.9703521835772255
30.0,True,2755.8084635698756,2.9762198458437896
31.0,True,2755.244155990995,2.981923934368636
32.0,True,2754.696228031422,2.9874642277992165
33.0,True,2754.164690014276,2.9928405109149154
34.0,True,2753.6495533727066,2.9980525604101076
35.0,True,2753.1508249890903,3.0031002020020376
36.0,True,2752.668515697957,3.0079832247055194
37.0,True,2752.20263460671,3.0127014381198647
38.0,True,2751.7531905167116,3.0172546581184
39.0,True,2751.320191922532,3.0216427068741885
40.0,True,2750.9036470111773,3.0258654128849534
41.0,True,2750.5035650088403,3.029922597390138
42.0,True,2750.1199507808806,3.033814128916005
43.0,True,2749.752812944165,3.037539841376789
