accessFrom[JDUT1],accessDuration[s],gpi,Observation Range [km],Look angle [deg],Incidence angle [deg],Solar Zenith [deg],Coverage [T/F]
2457769.4828251144,34.99981015920639,99,3060.845525117652,64.29335598746782,89.9132948626485,nan,True
2457769.482593634,77.99957692623137,100,3052.6010151042124,64.29300824195201,89.83888212586697,nan,True
2457769.482454746,103.99943590164185,101,3044.3517960111385,64.29246447843234,89.76423236100595,nan,True
2457769.48235058,124.9993219971657,102,3036.09677397707,64.29171582041083,89.68932517682288,nan,True
2457769.482257988,142.99922436475754,103,3027.8278452750264,64.29075912475373,89.61408450250087,nan,True
2457769.482188544,158.99913758039474,104,3019.552611123256,64.2895859934673,89.5385685469182,nan,True
2457769.4821190997,172.9990616440773,105,3011.2761568483565,64.28820872583742,89.46283825432837,nan,True
2457769.4820496556,186.99898570775986,106,3002.9940109612407,64.28661777059482,89.38684222234816,nan,True
2457769.4819917856,199.9989151954651,107,2994.6987787142934,64.28480238210297,89.31050160133437,nan,True
2457769.4819454895,210.99885553121567,108,2986.3930350680557,64.28277403991628,89.23385393633914,nan,True
2457769.4818991935,220.99880129098887,109,2978.0898579322916,64.28052696800903,89.15700926509007,nan,True
2457769.4818528974,231.9987416267395,110,2969.775252862796,64.2780483315986,89.07982736020068,nan,True
2457769.4818066014,241.99868738651278,111,2961.456886228727,64.27535160446877,89.002393480357,nan,True
2457769.4817718794,250.99863857030866,112,2953.1248060927514,64.27242411117474,88.92460386312236,nan,True
2457769.4817255833,260.99858433008194,113,2944.7954330497746,64.26926922234799,88.8466092651397,nan,True
2457769.4816908613,269.9985355138778,114,2936.4526531481843,64.2658715554109,88.76824786082213,nan,True
2457769.4816561393,277.9984921216965,115,2928.1083929946203,64.26224709661997,88.68964567385682,nan,True
2457769.481621417,286.9984433054924,116,2919.758735644369,64.25838496431808,88.6107549612384,nan,True
2457769.481598269,293.99840533733374,117,2911.3898503673176,64.25426876564599,88.53143338835953,nan,True
2457769.481563547,301.9983619451523,118,2903.025552294276,64.24992127278193,88.45192057844909,nan,True
2457769.481540399,308.99832397699356,119,2894.6559501686534,64.24532831268557,88.37211181378602,nan,True
2457769.481505677,316.9982805848121,120,2886.2810740322543,64.24048730056946,88.29200461889552,nan,True
2457769.481482529,323.99824261665344,121,2877.8858617127817,64.23537929303927,88.21144302514966,nan,True
2457769.481459381,329.9982100725174,122,2869.496664038279,64.23003131421372,88.13069369697041,nan,True
2457769.481436233,336.9981721043587,123,2861.1022884067042,64.22442710451368,88.04963812504108,nan,True
2457769.481401511,344.9981287121773,124,2852.7027657742337,64.21856394835213,87.96827370277647,nan,True
2457769.481378363,350.99809616804123,125,2844.289859090542,64.21243295044117,87.8865173184161,nan,True
2457769.481366789,356.99806362390524,126,2835.8687852021367,64.20602757733064,87.80440767441225,nan,True
2457769.481343641,362.9980310797691,127,2827.4502224703183,64.19936727103472,87.72206298845121,nan,True
2457769.481320493,368.997998535633,128,2819.0266438075846,64.19243657587076,87.63939848465513,nan,True
2457769.481297345,374.997965991497,129,2810.598081394049,64.1852326018175,87.55641138169291,nan,True
2457769.481274197,381.9979280233383,130,2802.1448005731736,64.17772755391901,87.47289478462544,nan,True
